,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
23,chris rolfe,CHI,F,19,18,1451,6,3,38,19,2,1/1,2,4,0.37,15.8,1,2,1,0.19,13,22,4,1,0,50.0,2007,reg,1,70000,74700
24,clint mathis,NY ,M,26,19,1722,6,2,47,22,0,0/1,4,2,0.31,12.8,1,2,0,0.1,16,15,5,2,2,46.81,2007,reg,1,270000,410000
28,jovan kirovski,COL,M-F,28,28,2161,6,1,36,14,2,4/4,4,2,0.25,16.7,1,1,0,0.04,38,19,16,3,0,38.89,2007,reg,0,200000,200000
29,guillermo barros schelotto,CLB,F,22,19,1605,5,11,39,18,3,1/1,3,2,0.28,12.8,1,3,8,0.62,23,65,20,5,0,46.15,2007,reg,0,150000,150000
30,eddie gaven,CLB,M,27,21,1923,5,7,59,33,0,0/0,4,1,0.23,8.5,1,0,7,0.33,18,50,10,1,0,55.93,2007,reg,0,165000,188000
31,stuart holden,HOU,M,22,10,1030,5,5,24,13,3,0/0,2,3,0.44,20.8,2,3,2,0.44,18,15,1,2,0,54.17,2007,reg,1,31500,31500
32,abe thompson,DAL,F,24,15,1227,5,4,19,11,2,2/2,2,3,0.37,26.3,1,1,3,0.29,14,10,13,2,0,57.89,2007,reg,1,30000,30000
33,edson buddle,LA ,F,26,15,1251,5,2,47,23,2,0/0,4,1,0.36,10.6,1,2,0,0.14,29,21,19,3,0,48.94,2007,reg,0,140000,150000
34,chris brown,RSL,M-F,22,12,1083,5,0,23,13,0,0/0,2,3,0.42,21.7,0,0,0,0.0,9,12,4,0,0,56.52,2007,reg,0,70000,70000
35,yura movsisyan,KC ,F,23,9,993,5,0,42,13,1,0/0,2,3,0.45,11.9,0,0,0,0.0,25,24,4,1,1,30.95,2007,reg,0,35750,45750
36,steve ralston,NE ,M,26,26,2337,4,14,33,18,2,0/0,4,0,0.15,12.1,2,9,5,0.54,16,29,3,1,0,54.55,2007,reg,1,150000,150000
37,sacha kljestan,LA,M,25,25,2186,4,13,40,21,0,1/1,1,3,0.16,10.0,3,8,5,0.54,45,34,2,5,0,52.5,2007,reg,1,70000,103000
38,davy arnaud,KC ,M,28,28,2489,4,9,74,29,0,0/0,1,3,0.14,5.4,2,4,5,0.33,46,63,9,6,1,39.19,2007,reg,1,100000,101875
39,cuauhtemoc blanco,CHI,M,14,14,1233,4,7,26,14,2,1/2,2,2,0.29,15.4,2,4,3,0.51,8,61,7,3,0,53.85,2007,reg,1,2492316,2666778
40,cobi jones,LA ,M,25,19,1679,4,5,19,12,1,0/0,4,0,0.21,21.1,3,4,1,0.27,9,26,7,0,0,63.16,2007,reg,0,95000,95000
41,shalrie joseph,NE ,M,27,27,2366,4,5,42,14,1,3/4,3,1,0.15,9.5,4,2,3,0.19,55,52,5,4,1,33.33,2007,reg,1,170625,180625
42,adam cristman,NE ,F,28,14,1421,4,4,40,16,0,0/0,3,1,0.25,10.0,1,3,1,0.25,41,51,10,1,0,40.0,2007,reg,1,17700,17700
43,andy herron,CLB,F,18,10,794,4,2,19,10,0,1/1,2,2,0.45,21.1,1,2,0,0.23,17,8,7,2,0,52.63,2007,reg,0,140000,148750
44,kenny cooper,DAL,F,14,12,1068,4,2,33,16,1,1/1,0,4,0.34,12.1,0,1,1,0.17,16,19,9,0,0,48.48,2007,reg,1,80000,83000
46,maurice edu,TOR,M,25,25,2180,4,1,24,8,1,0/0,3,1,0.17,16.7,0,1,0,0.04,65,50,1,6,1,33.33,2007,reg,0,50000,132500
47,gavin glinton,LA ,F,19,3,711,4,0,19,12,2,0/0,1,3,0.51,21.1,0,0,0,0.0,7,20,5,0,0,63.16,2007,reg,0,50000,50000
48,ramon nunez,CHV,M,21,12,1248,3,5,43,15,2,0/0,3,0,0.22,7.0,2,1,4,0.36,7,29,1,1,0,34.88,2007,reg,1,100000,118000
49,michael harrington,KC ,D,29,27,2422,3,4,15,9,0,0/0,2,1,0.11,20.0,1,2,2,0.15,38,26,7,1,0,60.0,2007,reg,1,36000,53500
50,jeff larentowicz,ATL,M,28,28,2455,3,4,28,9,1,0/0,1,2,0.11,10.7,1,3,1,0.15,61,30,0,5,0,32.14,2007,reg,1,30000,30000
51,brad davis,HOU,M,17,16,1275,3,3,27,18,0,1/1,3,0,0.21,11.1,1,1,2,0.21,18,30,2,1,0,66.67,2007,reg,1,120000,120000
52,ned grabavoy,CLB,M,26,24,2093,3,3,37,17,0,0/1,2,1,0.13,8.1,1,1,2,0.13,22,34,2,2,0,45.95,2007,reg,0,45050.25,52550.25
53,kyle beckerman,RSL,M,28,27,2430,3,3,52,19,0,0/0,0,3,0.11,5.8,2,2,1,0.11,39,41,2,9,0,36.54,2007,reg,0,120000,122500
54,arturo alvarez,DAL,M,27,21,1898,3,3,61,30,0,0/0,2,1,0.14,4.9,1,1,2,0.14,35,34,5,2,0,49.18,2007,reg,1,32819,46019
55,kerry zavagnin,KC ,M,29,29,2564,3,2,16,5,0,0/0,2,1,0.11,18.8,0,1,1,0.07,35,42,0,6,0,31.25,2007,reg,1,154000,154000
56,stefani miglioranzi,CLB,M,23,17,1621,3,2,18,7,1,0/0,1,2,0.17,16.7,1,1,1,0.11,26,11,1,3,0,38.89,2007,reg,0,70008,86258
57,dominic oduro,DAL,M,29,10,1163,3,2,24,13,1,0/0,2,1,0.23,12.5,0,0,2,0.15,16,23,17,3,0,54.17,2007,reg,1,30000,30000
58,john wolyniec,NY ,F,21,13,1032,3,2,24,7,3,0/0,2,1,0.26,12.5,1,1,1,0.17,16,27,7,1,0,29.17,2007,reg,1,65625,65625
59,calen carr,CHI,F,27,10,1134,3,2,33,13,0,0/0,2,1,0.24,9.1,1,1,1,0.16,24,12,4,5,0,39.39,2007,reg,1,38000,50500
60,claudio suarez,CHV,D,25,25,2153,3,1,14,9,0,1/1,1,2,0.13,21.4,0,0,1,0.04,31,11,0,6,1,64.29,2007,reg,1,146991.6,146991.6
61,robbie rogers,CLB,D,10,6,597,3,1,15,6,1,0/0,0,3,0.45,20.0,0,0,1,0.15,10,12,5,0,0,40.0,2007,reg,0,50000,50000
