,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
79,jack jewsbury,KC ,M,28,27,2316,2,3,25,6,0,0/0,0,2,0.08,8.0,0,0,3,0.12,22,34,1,5,0,24.0,2007,reg,1,50000,50000
80,ricardo clark,HOU,M,19,18,1635,2,3,28,11,0,0/0,1,1,0.11,7.1,3,1,2,0.17,29,22,3,2,1,39.29,2007,reg,1,195000,195000
81,alecko eskandarian,RSL,F,23,23,1913,2,3,58,30,0,1/2,2,0,0.09,3.4,2,2,1,0.14,46,50,16,9,1,51.72,2007,reg,0,155000,175500
82,eddie robinson,HOU,D,25,25,2187,2,2,10,5,0,0/0,1,1,0.08,20.0,0,0,2,0.08,70,64,0,11,1,50.0,2007,reg,1,110000,110000
84,paulo nagamura,CHV,M,26,24,2172,2,2,19,8,2,0/0,0,2,0.08,10.5,0,1,1,0.08,46,44,1,8,0,42.11,2007,reg,1,89250,89250
85,colin clark,COL,M,16,16,1321,2,2,26,5,0,0/0,2,0,0.14,7.7,0,1,1,0.14,24,24,3,2,0,19.23,2007,reg,0,17700,17700
86,francis doe,NY ,F,8,4,428,2,1,17,7,0,0/0,2,0,0.42,11.8,0,1,0,0.21,8,4,15,1,0,41.18,2007,reg,1,48000,48000
87,dema kovalenko,NY ,M,19,15,1377,2,1,21,7,0,0/0,0,2,0.13,9.5,0,0,1,0.07,29,22,3,5,0,33.33,2007,reg,1,190000,197375
88,troy roberts,LA ,D,16,12,1140,2,0,4,2,0,0/0,1,1,0.16,50.0,0,0,0,0.0,25,11,1,3,1,50.0,2007,reg,0,30000,30000
89,drew moor,COL,D,28,28,2495,2,0,7,3,1,0/0,2,0,0.07,28.6,0,0,0,0.0,17,30,1,3,0,42.86,2007,reg,1,53350,65850
90,kyle brown,RSL,F,8,3,286,2,0,7,4,1,0/0,1,1,0.63,28.6,0,0,0,0.0,6,1,3,0,0,57.14,2007,reg,0,17700,17700
91,chad marshall,CLB,D,12,11,1020,2,0,8,3,0,0/0,0,2,0.18,25.0,0,0,0,0.0,7,6,0,0,0,37.5,2007,reg,0,100000,123000
92,omar cummings,COL,F,11,0,182,2,0,10,6,1,0/0,1,1,0.99,20.0,0,0,0,0.0,2,1,3,0,0,60.0,2007,reg,0,30000,30000
93,kei kamara,COL,F,17,4,475,2,0,16,7,1,0/0,2,0,0.38,12.5,0,0,0,0.0,11,12,5,0,0,43.75,2007,reg,0,33000,43000
94,paulo wanchope,CHI,F,12,10,932,2,0,26,13,1,0/0,0,2,0.19,7.7,0,0,0,0.0,20,15,10,2,0,50.0,2007,reg,1,240000,267500
95,dax mccarty,NSH,M,25,18,1604,1,7,13,5,0,0/0,0,1,0.06,7.7,2,4,3,0.39,12,46,0,0,0,38.46,2007,reg,1,33000,45500
96,carlos marinelli,KC ,M,26,19,1674,1,5,42,21,0,1/2,0,1,0.05,2.4,1,2,3,0.27,41,41,1,7,0,50.0,2007,reg,1,165000,165000
97,duncan oughton,CLB,D,19,13,1231,1,4,9,5,0,0/0,0,1,0.07,11.1,0,2,2,0.29,17,26,1,3,0,55.56,2007,reg,0,72000,72000
98,marc burch,DC ,D,18,15,1362,1,3,9,3,0,0/0,1,0,0.07,11.1,1,1,2,0.2,21,12,1,3,0,33.33,2007,reg,1,30000,30000
100,andy williams,RSL,M,24,12,1277,1,3,19,9,0,0/0,1,0,0.07,5.3,0,1,2,0.21,29,32,3,1,1,47.37,2007,reg,0,70008,70008
101,brian mullan,HOU,D,28,28,2407,1,3,19,6,1,0/0,1,0,0.04,5.3,1,3,0,0.11,33,55,11,4,0,31.58,2007,reg,1,125000,125000
102,chris gbandi,DAL,D,21,19,1700,1,2,5,3,1,0/0,1,0,0.05,20.0,0,1,1,0.11,24,11,2,7,1,60.0,2007,reg,1,100000,103750
103,lawson vaughn,CHV,D,24,22,1901,1,2,5,3,0,0/0,1,0,0.05,20.0,2,2,0,0.09,27,19,1,6,1,60.0,2007,reg,1,30000,30000
106,facundo erpen,COL,D,26,25,2056,1,2,11,2,0,0/0,0,1,0.04,9.1,0,2,0,0.09,42,23,0,6,1,18.18,2007,reg,0,115000,115000
107,ivan guerrero,CHI,M,19,16,1490,1,2,12,5,1,0/0,0,1,0.06,8.3,1,1,1,0.12,11,25,3,0,0,41.67,2007,reg,1,160000,187500
108,laurent merlin,CHV,F,22,7,804,1,2,15,8,0,0/0,1,0,0.11,6.7,0,0,2,0.22,19,28,8,1,0,53.33,2007,reg,1,60000,60000
110,mehdi ballouchy,COL,M,23,22,1853,1,2,35,10,0,0/0,0,1,0.05,2.9,1,1,1,0.1,40,39,5,8,1,28.57,2007,reg,0,70000,88000
111,orlando perez,CHV,D,15,12,1033,1,1,3,1,0,0/0,1,0,0.09,33.3,0,1,0,0.09,10,7,0,5,0,33.33,2007,reg,1,70000,70000
113,chris wondolowski,SJ,F,16,3,307,1,1,6,1,0,0/0,0,1,0.29,16.7,0,1,0,0.29,4,3,4,0,0,16.67,2007,reg,1,30000,30000
114,hunter freeman,NY ,D,16,15,1342,1,1,6,4,1,0/0,0,1,0.07,16.7,1,1,0,0.07,21,19,0,2,0,66.67,2007,reg,1,50600,60600
115,eloy colombano,KC ,M-F,10,1,310,1,1,6,1,0,0/0,0,1,0.29,16.7,1,1,0,0.29,3,5,4,1,0,16.67,2007,reg,1,42000,42000
117,clarence goodson,DAL,D,27,27,2297,1,1,9,5,1,0/0,1,0,0.04,11.1,0,1,0,0.04,36,37,0,6,0,55.56,2007,reg,1,48378.75,53378.75
118,kevin goldthwaite,HOU,D,19,17,1466,1,1,11,6,1,0/0,1,0,0.06,9.1,0,1,0,0.06,21,20,0,4,1,54.55,2007,reg,1,30870,30870
119,joshua gros,DC ,M-D,22,22,1854,1,1,11,8,1,0/0,0,1,0.05,9.1,0,1,0,0.05,22,20,5,3,0,72.73,2007,reg,1,72500,75000
120,jonathan bornstein,CHI,D,23,23,2070,1,1,14,8,0,0/0,0,1,0.04,7.1,0,1,0,0.04,28,28,1,1,0,57.14,2007,reg,1,57500,57500
121,gonzalo segares,CHI,D,27,27,2406,1,1,15,5,0,0/0,1,0,0.04,6.7,1,0,1,0.04,43,25,4,6,1,33.33,2007,reg,1,48300,50800
122,marcos gonzalez,CLB,D,27,27,2356,1,1,21,5,0,0/0,0,1,0.04,4.8,0,0,1,0.04,43,21,0,4,1,23.81,2007,reg,0,156000,162250
123,nicolas hernandez,COL,F,21,17,1474,1,1,29,7,1,0/0,0,1,0.06,3.4,0,1,0,0.06,28,19,7,0,0,24.14,2007,reg,0,130000,132400
124,patrick ianni,HOU,D-M,16,9,961,1,0,1,1,1,0/0,0,1,0.09,100.0,0,0,0,0.0,15,4,0,3,0,100.0,2007,reg,1,70000,103000
126,michael parkhurst,NE ,D,25,25,2197,1,0,1,1,0,0/0,0,1,0.04,100.0,0,0,0,0.0,5,10,0,0,0,100.0,2007,reg,1,80575,93075
127,jeff curtin,CHI,D,3,3,248,1,0,2,1,0,0/0,1,0,0.36,50.0,0,0,0,0.0,3,1,0,3,1,50.0,2007,reg,1,12900,12900
128,logan pause,CHI,M,23,21,1905,1,0,2,2,1,0/0,1,0,0.05,50.0,0,0,0,0.0,25,20,0,1,0,100.0,2007,reg,1,69300,69300
130,matias mantilla,RSL,D,10,9,828,1,0,2,2,0,0/0,1,0,0.11,50.0,0,0,0,0.0,13,5,0,6,0,100.0,2007,reg,0,48000,48000
131,floyd franks,CHI,M,7,2,223,1,0,3,1,0,0/0,0,1,0.4,33.3,0,0,0,0.0,3,7,3,1,0,33.33,2007,reg,1,17700,17700
132,jerson monteiro,CHI,F,5,1,154,1,0,3,3,0,0/0,0,1,0.58,33.3,0,0,0,0.0,3,0,1,0,0,100.0,2007,reg,1,17700,17700
133,mike petke,COL,D,24,24,2018,1,0,4,1,0,0/0,1,0,0.04,25.0,0,0,0,0.0,24,16,1,4,0,25.0,2007,reg,0,126000,126000
134,eddie pope,RSL,D,27,27,2248,1,0,5,1,1,0/0,0,1,0.04,20.0,0,0,0,0.0,24,27,0,2,0,20.0,2007,reg,0,265000,265000
135,rod dyachenko,DC ,M,14,4,378,1,0,5,3,0,0/0,1,0,0.24,20.0,0,0,0,0.0,22,1,3,3,0,60.0,2007,reg,1,17700,17700
138,kevin harmse,LA ,M,17,13,1171,1,0,6,3,1,0/0,1,0,0.08,16.7,0,0,0,0.0,22,15,0,6,1,50.0,2007,reg,0,40800,40800
139,ryan cochrane,HOU,D,25,25,2059,1,0,6,1,0,0/0,0,1,0.04,16.7,0,0,0,0.0,55,13,0,6,1,16.67,2007,reg,1,51149,66149
140,ugo ihemelu,COL,D,25,23,2017,1,0,7,4,0,0/0,0,1,0.04,14.3,0,0,0,0.0,40,34,0,4,2,57.14,2007,reg,0,55000,55000
141,tyrone marshall,LA ,D,24,24,2159,1,0,10,1,0,0/0,1,0,0.04,10.0,0,0,0,0.0,34,16,0,5,1,10.0,2007,reg,0,142000,149500
142,ezra hendrickson,CLB,D,23,21,1851,1,0,11,5,1,0/0,1,0,0.05,9.1,0,0,0,0.0,30,5,1,3,1,45.45,2007,reg,0,76650,77900
143,dasan robinson,CHI,D,23,21,1819,1,0,11,3,0,0/0,0,1,0.05,9.1,0,0,0,0.0,35,34,2,4,0,27.27,2007,reg,1,42500,42500
144,jim brennan,TOR,D,27,27,2430,1,0,13,5,0,0/0,0,1,0.04,7.7,0,0,0,0.0,31,13,1,6,0,38.46,2007,reg,0,150000,158000
145,jason garey,CLB,F,11,5,447,1,0,13,6,0,0/0,0,1,0.2,7.7,0,0,0,0.0,6,2,5,1,0,46.15,2007,reg,0,41250,53750
147,jose cancela,COL,M,11,5,611,1,0,15,8,0,1/1,0,1,0.15,6.7,0,0,0,0.0,6,24,1,0,0,53.33,2007,reg,0,156000,156000
148,wells thompson,NE ,D,27,11,1215,1,0,16,7,0,0/0,1,0,0.07,6.3,0,0,0,0.0,26,36,2,6,0,43.75,2007,reg,1,30000,30000
149,jay heaps,NE ,D,28,28,2475,1,0,16,8,0,0/0,0,1,0.04,6.3,0,0,0,0.0,31,37,1,5,0,50.0,2007,reg,1,110000,113750
150,jacob thomas,CLB,F,9,4,402,1,0,16,8,1,0/0,0,1,0.22,6.3,0,0,0,0.0,4,8,4,0,0,50.0,2007,reg,0,84000,87750
151,jacob peterson,COL,F,24,10,1118,1,0,24,10,0,0/0,0,1,0.08,4.2,0,0,0,0.0,8,21,5,1,0,41.67,2007,reg,0,70000,88750
152,terry cooke,COL,M,29,28,2288,0,7,21,9,0,0/0,0,0,0.0,0.0,2,4,3,0.28,5,21,2,0,0,42.86,2007,reg,0,147500,152500
153,richard mulrooney,HOU,M,30,27,2521,0,5,9,3,0,0/0,0,0,0.0,0.0,2,2,3,0.18,18,44,0,2,0,33.33,2007,reg,1,220000,233200
154,peter vagenas,LA ,M,24,20,1786,0,5,13,3,0,0/0,0,0,0.0,0.0,1,5,0,0.25,25,21,0,2,0,23.08,2007,reg,0,131250,131875
155,brian carroll,DC ,M,28,19,1801,0,4,7,1,0,0/0,0,0,0.0,0.0,1,3,1,0.2,39,15,1,7,0,14.29,2007,reg,1,115000,118750
156,corey ashe,HOU,M,22,6,811,0,4,10,4,0,0/0,0,0,0.0,0.0,2,4,0,0.44,5,14,5,2,0,40.0,2007,reg,1,30000,30000
157,ronnie obrien,TOR,M,13,13,1139,0,4,22,12,0,0/0,0,0,0.0,0.0,2,3,1,0.32,16,15,0,1,0,54.55,2007,reg,0,240000,258750
158,pablo ricchetti,DAL,D-M,19,19,1600,0,3,6,2,0,0/0,0,0,0.0,0.0,1,3,0,0.17,31,18,0,7,0,33.33,2007,reg,1,120000,126625
159,chris pozniak,TOR,D,22,16,1497,0,3,9,3,0,0/0,0,0,0.0,0.0,0,0,3,0.18,22,16,1,3,1,33.33,2007,reg,0,90000,95000
160,marvell wynne,NY ,D,23,22,1963,0,3,9,5,0,0/0,0,0,0.0,0.0,0,2,1,0.14,22,23,3,2,0,55.56,2007,reg,0,47500,150000
161,frankie hejduk,CLB,D,24,24,2160,0,3,10,3,0,0/0,0,0,0.0,0.0,1,2,1,0.13,31,25,2,5,0,30.0,2007,reg,0,150000,175000
162,claudio reyna,NY ,M,21,21,1723,0,3,14,3,0,0/0,0,0,0.0,0.0,1,1,2,0.16,35,18,1,2,0,21.43,2007,reg,1,1000008,1250008
163,clyde simms,DC ,M,25,16,1505,0,3,15,7,0,0/0,0,0,0.0,0.0,2,1,2,0.18,20,6,0,1,0,46.67,2007,reg,1,52500,53750
164,alex zotinca,CHV,D,22,20,1667,0,3,15,6,0,0/0,0,0,0.0,0.0,1,2,1,0.16,34,17,2,6,1,40.0,2007,reg,1,67500,68750
165,ryan raybould,KC ,D-M,10,4,424,0,2,1,0,0,0/0,0,0,0.0,0.0,1,1,1,0.42,10,6,0,2,0,0.0,2007,reg,1,30000,30000
166,marcelo saragosa,DAL,M,13,10,800,0,2,3,1,0,0/0,0,0,0.0,0.0,1,1,1,0.23,33,17,0,4,1,33.33,2007,reg,1,67008,71883
167,wade barrett,HOU,D,30,30,2649,0,2,3,2,0,0/0,0,0,0.0,0.0,1,1,1,0.07,11,9,2,2,0,66.67,2007,reg,1,141750,141750
168,chris wingert,COL,D,22,16,1590,0,2,4,3,0,0/0,0,0,0.0,0.0,0,0,2,0.11,26,17,0,4,0,75.0,2007,reg,0,54993.75,62493.75
169,craig waibel,HOU,D,21,18,1639,0,2,7,2,0,0/0,0,0,0.0,0.0,0,1,1,0.11,27,11,0,1,0,28.57,2007,reg,1,85000,85000
171,chris armas,CHI,M,25,24,2194,0,2,7,2,0,0/0,0,0,0.0,0.0,0,1,1,0.08,27,24,0,3,0,28.57,2007,reg,1,225000,225000
172,david beckham,LA ,M,5,2,252,0,2,8,0,0,0/0,0,0,0.0,0.0,0,0,2,0.71,2,7,0,0,0,0.0,2007,reg,0,5500000.08,6500000.04
174,seth stammler,NY ,M-D,29,28,2547,0,2,26,5,0,0/0,0,0,0.0,0.0,0,2,0,0.07,46,28,0,3,0,19.23,2007,reg,1,30870,30870
178,rusty pierce,CLB,D,21,19,1580,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.06,23,24,1,5,0,0.0,2007,reg,0,63000,64300
179,rodrigo lopez,CHV,M,5,0,62,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,1.45,1,1,0,0,0,0.0,2007,reg,1,17700,17700
180,jack stewart,RSL,D,13,12,1006,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.09,5,9,1,1,0,0.0,2007,reg,0,41081.25,48581.25
181,nick garcia,KC ,D,27,27,2420,0,1,2,1,0,0/0,0,0,0.0,0.0,1,1,0,0.04,32,24,0,4,0,50.0,2007,reg,1,131250,136250
182,brad evans,CLB,D-M,4,1,108,0,1,2,1,0,0/0,0,0,0.0,0.0,0,1,0,0.83,1,1,0,0,0,50.0,2007,reg,0,17700,17700
183,avery john,NE ,D,19,18,1559,0,1,2,1,0,0/0,0,0,0.0,0.0,0,0,1,0.06,25,22,0,4,0,50.0,2007,reg,1,63000,63750
184,markus schopp,NY ,D-M,5,3,228,0,1,3,1,0,0/0,0,0,0.0,0.0,0,0,1,0.39,8,1,0,1,0,33.33,2007,reg,1,175000,175000
185,chris lancos,RSL,M-D,14,8,811,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.11,11,5,0,3,0,33.33,2007,reg,0,17700,17700
186,josh tudela,LA ,M,9,9,779,0,1,3,2,0,0/0,0,0,0.0,0.0,1,1,0,0.12,15,6,0,2,0,66.67,2007,reg,0,17700,17700
187,abel xavier,LA ,D,10,10,900,0,1,4,0,0,0/0,0,0,0.0,0.0,0,1,0,0.1,7,10,0,3,0,0.0,2007,reg,0,156000,156000
188,sinisa ubiparipovic,NY ,F-M,12,0,232,0,1,4,2,0,0/0,0,0,0.0,0.0,0,1,0,0.39,2,4,0,0,0,50.0,2007,reg,1,17700,17700
190,wilman conde,CHI,D,7,7,595,0,1,6,5,0,0/0,0,0,0.0,0.0,1,0,1,0.15,8,4,0,3,1,83.33,2007,reg,1,144000,151500
191,kyle veris,LA ,D,8,6,542,0,1,6,2,0,0/0,0,0,0.0,0.0,1,1,0,0.17,8,4,0,3,0,33.33,2007,reg,0,17700,17700
192,atiba harris,RSL,D,21,13,1257,0,1,8,4,0,0/0,0,0,0.0,0.0,0,1,0,0.07,45,22,8,5,0,50.0,2007,reg,0,30000,30000
193,pablo mastroeni,COL,M,23,21,1864,0,1,9,0,0,0/0,0,0,0.0,0.0,1,1,0,0.05,46,24,0,7,1,0.0,2007,reg,0,280000,298000
195,diego gutierrez,CHI,D,23,22,1890,0,1,10,6,0,0/0,0,0,0.0,0.0,0,1,0,0.05,33,24,0,7,1,60.0,2007,reg,1,126500,126500
196,jeff parke,NY ,D,28,26,2246,0,1,10,4,0,0/0,0,0,0.0,0.0,0,0,1,0.04,24,23,0,2,0,40.0,2007,reg,1,47250,48500
197,ricardo virtuoso,CLB,F,8,5,451,0,1,11,4,0,0/0,0,0,0.0,0.0,0,1,0,0.2,11,14,5,1,0,36.36,2007,reg,0,60000,102000
198,danny orourke,CLB,D,27,27,2426,0,1,11,1,0,0/0,0,0,0.0,0.0,0,0,1,0.04,46,33,0,6,1,9.09,2007,reg,0,46331.25,56331.25
199,kelly gray,HOU,D-M,15,13,1195,0,1,14,4,0,0/0,0,0,0.0,0.0,1,1,0,0.08,9,5,1,1,0,28.57,2007,reg,0,85000,85000
200,justin mapp,CHI,M,13,10,808,0,1,15,8,0,0/0,0,0,0.0,0.0,1,1,0,0.11,7,22,3,0,0,53.33,2007,reg,1,130000,136000
201,andrea lombardo,TOR,F,16,6,726,0,1,17,9,0,0/0,0,0,0.0,0.0,0,1,0,0.12,32,24,18,2,0,52.94,2007,reg,0,30000,30000
202,jordan harvey,LAFC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,17700,17700
203,stephen keel,COL,D,4,1,177,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2007,reg,0,17700,17700
204,david guzman,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
208,stephen lumley,TOR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
209,nick labrocca,COL,M,2,1,67,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
210,john diraimondo,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
212,andrew daniels,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
213,bobby burling,CHV,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
216,erik ustruck,HOU,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
217,nick hatzke,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
218,mike chabala,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,17700,17700
220,mpho moloi,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,17700,17700
221,michael dellorusso,DAL,D-M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
222,blake wagner,DAL,D-M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,33000,45500
223,anthony wallace,DAL,D,1,1,69,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2007,reg,1,45000,78000
225,scott jones,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
226,eric ebert,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
228,ben hunter,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
230,bryan arguez,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,45000,76200
231,brandon moss,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,17700,17700
232,jed zayner,CLB,D,2,0,20,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,33000,40500
233,jeff carroll,DC ,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
235,brad north,DC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
236,ryan mcmahen,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,30000,30000
237,jamil walker,DC ,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,30870,30870
239,will john,KC ,M-F,3,0,26,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,1,33075,40575
240,aaron hohlbein,KC ,D,5,4,360,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,6,0,1,0,,2007,reg,1,30000,30000
242,lance watson,KC ,D,2,0,23,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2007,reg,1,17700,17700
243,edson elcock,KC ,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,17700,17700
245,elie ikangu,NY ,M,1,0,8,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,17700,17700
246,jerrod laventure,NY ,F,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2007,reg,1,12900,12900
247,randi patterson,NY ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
249,carlos mendes,NY ,D,23,19,1709,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,4,0,2,0,,2007,reg,1,62606.25,62606.25
250,blake camp,NY ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
251,gary flood,NE ,M,5,2,197,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,1,12900,12900
253,chris loftus,NE ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
254,ryan solle,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,17700,17700
255,arsene oka,NE ,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
256,michael kraus,KC ,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
257,willy guadarrama,KC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
258,amaechi igwe,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,45000,78000
259,willie sims,NE ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,35500,43000
261,carlos llamosa,CHV,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,84000,84000
262,daniel osorno,COL,M,3,0,55,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,0,138000,143000
263,daniel woolard,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
265,osei telesford,CHI,D,2,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,1,36000,36625
266,jordan russolillo,CHI,D,2,1,46,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,1,12900,12900
267,ante jazic,LA ,D,18,16,1397,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,12,2,2,0,,2007,reg,0,108000,114250
270,marshall leonard,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,47500,47500
271,roberto mina,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,80000,80000
276,israel sesay,LA ,F,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,45000,57083.33
277,amir lowery,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
281,sandy gbandi,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
283,kenneth hoerner,HOU,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
284,chris karcz,NY ,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
286,clifton wilmes,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
287,bryan byrne,NE ,M,1,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2007,reg,1,30000,30000
288,andrew peterson,CLB,D,1,1,75,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2007,reg,0,12900,12900
289,mike caso,LA ,F,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,0,12900,12900
290,mira mupier,DC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2007,reg,1,12900,12900
